weekofyear,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,reanalysis_relative_humidity_percent,reanalysis_specific_humidity_g_per_kg,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,total_cases
18,0.1226,0.103725,0.1984833,0.1776167,73.3657142857,14.0128571429,25.4428571429,6.9,29.4,20.0,16.0,4
19,0.1699,0.142175,0.1623571,0.1554857,77.3685714286,15.3728571429,26.7142857143,6.37142857143,31.7,22.2,8.6,5
20,0.03225,0.1729667,0.1572,0.1708429,82.0528571429,16.8485714286,26.7142857143,6.48571428571,32.2,22.8,41.4,4
21,0.1286333,0.2450667,0.2275571,0.2358857,80.3371428571,16.6728571429,27.4714285714,6.77142857143,33.3,23.3,4.0,3
22,0.1962,0.2622,0.2512,0.24734,80.46,17.21,28.9428571429,9.37142857143,35.0,23.9,5.8,6
23,,0.17485,0.2543143,0.1817429,79.8914285714,17.2128571429,28.1142857143,6.94285714286,34.4,23.9,39.1,2
24,0.1129,0.0928,0.2050714,0.2102714,82.0,17.2342857143,27.4142857143,6.77142857143,32.2,23.3,29.7,4
25,0.0725,0.0725,0.1514714,0.1330286,83.3757142857,17.9771428571,28.3714285714,7.68571428571,33.9,22.8,21.1,5
26,0.10245,0.146175,0.1255714,0.1236,82.7685714286,17.79,28.3285714286,7.38571428571,33.9,22.8,21.1,10
27,,0.12155,0.1606833,0.2025667,81.2814285714,18.0714285714,28.3285714286,6.51428571429,33.9,24.4,1.1,6
28,0.192875,0.08235,0.1919429,0.1529286,81.4671428571,17.4185714286,27.5571428571,7.15714285714,31.7,21.7,63.7,8
29,0.2916,0.2118,0.3012,0.2806667,82.1442857143,17.7371428571,28.1285714286,6.9,32.8,23.9,12.2,2
30,0.1505667,0.1717,0.2269,0.2145571,80.7428571429,17.3414285714,28.1142857143,6.35714285714,31.7,22.8,32.6,6
31,,0.24715,0.3797,0.3813571,80.5842857143,17.5942857143,28.2428571429,8.08571428571,34.4,22.8,37.6,17
